"playerID","rank","points","first","last","dob","country"
104586,70,693,"Lukas","Rosol",19850724,"CZE"
103857,71,692,"Igor","Kunitsyn",19810930,"RUS"
104976,72,690,"Ryan","Sweeting",19870714,"USA"
104797,73,685,"Denis","Istomin",19860907,"UZB"
104268,74,671,"Alejandro","Falla",19831114,"COL"
104262,75,669,"Flavio","Cipolla",19831020,"ITA"
105777,76,666,"Grigor","Dimitrov",19910516,"BUL"
103813,77,666,"Jarkko","Nieminen",19810723,"FIN"
104919,78,659,"Leonardo","Mayer",19870515,"ARG"
105992,79,658,"Ryan","Harrison",19920507,"USA"
103917,80,653,"Nicolas","Mahut",19820121,"FRA"
105649,81,652,"Cedrik Marcel","Stebe",19901009,"GER"
104229,82,651,"Yen Hsun","Lu",19830814,"TPE"
104534,83,640,"Dudi","Sela",19850404,"ISR"
104500,84,631,"Somdev","Devvarman",19850213,"IND"
103672,85,630,"Ricardo","Mello",19801221,"BRA"
105051,86,627,"Matthew","Ebden",19871126,"AUS"
105173,87,623,"Adrian","Mannarino",19880629,"FRA"
104327,88,622,"Steve","Darcis",19840313,"BEL"
105137,89,612,"Pere","Riba",19880407,"ESP"
103812,90,600,"Victor","Hanescu",19810721,"ROU"
105062,91,598,"Mikhail","Kukushkin",19871226,"KAZ"
104882,92,590,"Blaz","Kavcic",19870305,"SLO"
105023,93,589,"Sam","Querrey",19871007,"USA"
104897,94,587,"Matthias","Bachinger",19870402,"GER"
105332,95,586,"Benoit","Paire",19890508,"FRA"
104735,96,582,"Tobias","Kamke",19860521,"GER"
103799,97,581,"Eric","Prodon",19810627,"FRA"
104676,98,580,"Andreas","Beck",19860205,"GER"
103188,99,577,"Michael","Russell",19780501,"USA"
103582,100,567,"Michael","Berrer",19800701,"GER"
